,isocode,year,month,ons_armedconf12_pred_jut,ons_armedconf12_pred_top,ons_armedconf12_pred_aug
192,AFG,2000,1,0.9508396021752746,0.6226806016674868,0.8995919844836113
193,AGO,2000,1,0.93490647624006,0.6653554553155783,0.8990826906943098
194,ALB,2000,1,0.2461961526612791,0.5001019532225408,0.3637711070237681
196,ARE,2000,1,0.0459931196349954,0.1513681433036117,0.054139563983299
197,ARG,2000,1,0.0520507072237348,0.0552400110925251,0.0220853811539654
198,ARM,2000,1,0.0612279417219809,0.0459988266836641,0.0430157964292872
199,ATG,2000,1,0.0071205267517927,0.0101311321168346,0.011647416861817
200,AUS,2000,1,0.0353836617477071,0.039918754627688,0.0089553978841237
201,AUT,2000,1,0.0359718698544135,0.0461498914912507,0.0143005312143904
202,AZE,2000,1,0.664751504134422,0.2425583526888887,0.6564071982914581
203,BDI,2000,1,0.9399580240106674,0.7009590477567472,0.9172321032865948
204,BEL,2000,1,0.0346257660815438,0.0200905873430423,0.008969652005836
205,BEN,2000,1,0.0362289673196521,0.4476052102855205,0.1104833448962735
206,BFA,2000,1,0.0247555254733534,0.2918222883806797,0.0694716658068471
207,BGD,2000,1,0.0650383810066898,0.3934991696253259,0.147573965997231
208,BGR,2000,1,0.0357510861661376,0.1220454387562557,0.0282029388347942
209,BHR,2000,1,0.0417112821912761,0.0615312666896974,0.0341564510845053
210,BHS,2000,1,0.0105320904708653,0.0111664371305872,0.0134930894437776
211,BIH,2000,1,0.0655349545369837,0.3150629351572344,0.1348179743190222
212,BLR,2000,1,0.0498037077959107,0.1467032221658797,0.0355008772526701
213,BLZ,2000,1,0.0105320904708653,0.0145150872164222,0.0089389253375887
214,BOL,2000,1,0.4694644189527264,0.0667705834551532,0.4548862946529705
215,BRA,2000,1,0.1614929529686863,0.0595418959085759,0.1335802932733406
216,BRB,2000,1,0.0105320904708653,0.0160794399303172,0.0125630786070349
217,BRN,2000,1,0.0251497157267022,0.0199888785012437,0.0103440877028947
218,BTN,2000,1,0.1033657559149732,0.1440287086519331,0.1315133425197632
219,BWA,2000,1,0.0601312997473361,0.0846679444359532,0.0607237963895878
220,CAF,2000,1,0.4718807133422627,0.3344872268022164,0.5239634352702964
221,CAN,2000,1,0.2999860832422198,0.0685695163639826,0.2049518715383117
222,CHE,2000,1,0.0362289673196521,0.0163810622014371,0.0077583097469048
223,CHL,2000,1,0.0178945752761777,0.0955852540045705,0.0251669129439706
224,CHN,2000,1,0.0305256948733913,0.0871391703438081,0.0208453755283357
225,CIV,2000,1,0.0475662503529948,0.4505499226667283,0.0921855857373463
226,CMR,2000,1,0.3292492885624719,0.2440759167477468,0.2602322083957603
227,COD,2000,1,0.9530828739916504,0.7236591707554423,0.9201718791350644
228,COG,2000,1,0.8313678444320651,0.5229454384802811,0.8492879314686735
229,COL,2000,1,0.916015811286132,0.5563812109105416,0.8524297758910764
230,COM,2000,1,0.2431136179657973,0.2172297568674953,0.3136997596095117
231,CPV,2000,1,0.0246450993314307,0.1589110417074726,0.0738871259630932
232,CRI,2000,1,0.0395303671077881,0.0253922679862138,0.0167281145691648
233,CUB,2000,1,0.0349397200627759,0.0508904832099703,0.0113771192796148
234,CYP,2000,1,0.0409663560103727,0.0723887949699441,0.0241256395007333
235,CZE,2000,1,0.0561232444404752,0.0314981082541618,0.0098774602116208
236,DEU,2000,1,0.0358070648152497,0.0224957996509354,0.011252930412403
237,DJI,2000,1,0.5966416259495478,0.2123801559811289,0.6432580222855993
238,DMA,2000,1,0.0105320904708653,0.0128485859248452,0.0094773463525339
239,DNK,2000,1,0.0372964580682987,0.016803259241071,0.0086927641394837
240,DOM,2000,1,0.0346257660815438,0.0576613429495971,0.0242979626888124
