,date,trends_index,keyword,region
0,2004-01-01,0,Sum,AF
1,2004-02-01,0,Sum,AF
2,2004-03-01,0,Sum,AF
3,2004-04-01,100,Sum,AF
4,2004-05-01,0,Sum,AF
5,2004-06-01,0,Sum,AF
6,2004-07-01,38,Sum,AF
7,2004-08-01,0,Sum,AF
8,2004-09-01,8,Sum,AF
9,2004-10-01,0,Sum,AF
10,2004-11-01,0,Sum,AF
11,2004-12-01,8,Sum,AF
12,2005-01-01,0,Sum,AF
13,2005-02-01,0,Sum,AF
14,2005-03-01,0,Sum,AF
15,2005-04-01,0,Sum,AF
16,2005-05-01,0,Sum,AF
17,2005-06-01,0,Sum,AF
18,2005-07-01,0,Sum,AF
19,2005-08-01,0,Sum,AF
20,2005-09-01,0,Sum,AF
21,2005-10-01,0,Sum,AF
22,2005-11-01,0,Sum,AF
23,2005-12-01,0,Sum,AF
24,2006-01-01,0,Sum,AF
25,2006-02-01,0,Sum,AF
26,2006-03-01,0,Sum,AF
27,2006-04-01,0,Sum,AF
28,2006-05-01,0,Sum,AF
29,2006-06-01,3,Sum,AF
30,2006-07-01,3,Sum,AF
31,2006-08-01,0,Sum,AF
32,2006-09-01,0,Sum,AF
33,2006-10-01,0,Sum,AF
34,2006-11-01,0,Sum,AF
35,2006-12-01,0,Sum,AF
36,2007-01-01,0,Sum,AF
37,2007-02-01,0,Sum,AF
38,2007-03-01,0,Sum,AF
39,2007-04-01,0,Sum,AF
40,2007-05-01,0,Sum,AF
41,2007-06-01,3,Sum,AF
42,2007-07-01,0,Sum,AF
43,2007-08-01,0,Sum,AF
44,2007-09-01,0,Sum,AF
45,2007-10-01,0,Sum,AF
46,2007-11-01,3,Sum,AF
47,2007-12-01,0,Sum,AF
48,2008-01-01,2,Sum,AF
49,2008-02-01,0,Sum,AF
50,2008-03-01,0,Sum,AF
51,2008-04-01,0,Sum,AF
52,2008-05-01,0,Sum,AF
53,2008-06-01,0,Sum,AF
54,2008-07-01,5,Sum,AF
55,2008-08-01,3,Sum,AF
56,2008-09-01,0,Sum,AF
57,2008-10-01,0,Sum,AF
58,2008-11-01,0,Sum,AF
59,2008-12-01,0,Sum,AF
60,2009-01-01,4,Sum,AF
61,2009-02-01,0,Sum,AF
62,2009-03-01,1,Sum,AF
63,2009-04-01,0,Sum,AF
64,2009-05-01,0,Sum,AF
65,2009-06-01,0,Sum,AF
66,2009-07-01,0,Sum,AF
67,2009-08-01,0,Sum,AF
68,2009-09-01,0,Sum,AF
69,2009-10-01,0,Sum,AF
70,2009-11-01,0,Sum,AF
71,2009-12-01,0,Sum,AF
72,2010-01-01,0,Sum,AF
73,2010-02-01,0,Sum,AF
74,2010-03-01,0,Sum,AF
75,2010-04-01,0,Sum,AF
76,2010-05-01,0,Sum,AF
77,2010-06-01,1,Sum,AF
78,2010-07-01,1,Sum,AF
79,2010-08-01,0,Sum,AF
80,2010-09-01,1,Sum,AF
81,2010-10-01,0,Sum,AF
82,2010-11-01,0,Sum,AF
83,2010-12-01,0,Sum,AF
84,2011-01-01,0,Sum,AF
85,2011-02-01,0,Sum,AF
86,2011-03-01,0,Sum,AF
87,2011-04-01,0,Sum,AF
88,2011-05-01,0,Sum,AF
89,2011-06-01,0,Sum,AF
90,2011-07-01,0,Sum,AF
91,2011-08-01,0,Sum,AF
92,2011-09-01,1,Sum,AF
93,2011-10-01,0,Sum,AF
94,2011-11-01,0,Sum,AF
95,2011-12-01,0,Sum,AF
96,2012-01-01,0,Sum,AF
97,2012-02-01,0,Sum,AF
98,2012-03-01,0,Sum,AF
99,2012-04-01,0,Sum,AF
100,2012-05-01,0,Sum,AF
101,2012-06-01,0,Sum,AF
102,2012-07-01,0,Sum,AF
103,2012-08-01,0,Sum,AF
104,2012-09-01,0,Sum,AF
105,2012-10-01,0,Sum,AF
106,2012-11-01,0,Sum,AF
107,2012-12-01,0,Sum,AF
108,2013-01-01,0,Sum,AF
109,2013-02-01,0,Sum,AF
110,2013-03-01,0,Sum,AF
111,2013-04-01,0,Sum,AF
112,2013-05-01,0,Sum,AF
113,2013-06-01,0,Sum,AF
114,2013-07-01,0,Sum,AF
115,2013-08-01,0,Sum,AF
116,2013-09-01,0,Sum,AF
117,2013-10-01,0,Sum,AF
118,2013-11-01,0,Sum,AF
119,2013-12-01,0,Sum,AF
120,2014-01-01,0,Sum,AF
121,2014-02-01,0,Sum,AF
122,2014-03-01,0,Sum,AF
123,2014-04-01,0,Sum,AF
124,2014-05-01,0,Sum,AF
125,2014-06-01,0,Sum,AF
126,2014-07-01,0,Sum,AF
127,2014-08-01,0,Sum,AF
128,2014-09-01,0,Sum,AF
129,2014-10-01,0,Sum,AF
130,2014-11-01,0,Sum,AF
131,2014-12-01,0,Sum,AF
132,2015-01-01,0,Sum,AF
133,2015-02-01,0,Sum,AF
134,2015-03-01,0,Sum,AF
135,2015-04-01,0,Sum,AF
136,2015-05-01,0,Sum,AF
137,2015-06-01,0,Sum,AF
138,2015-07-01,0,Sum,AF
139,2015-08-01,0,Sum,AF
140,2015-09-01,0,Sum,AF
141,2015-10-01,0,Sum,AF
142,2015-11-01,0,Sum,AF
143,2015-12-01,0,Sum,AF
144,2016-01-01,0,Sum,AF
145,2016-02-01,0,Sum,AF
146,2016-03-01,0,Sum,AF
147,2016-04-01,0,Sum,AF
148,2016-05-01,0,Sum,AF
149,2016-06-01,0,Sum,AF
150,2016-07-01,0,Sum,AF
151,2016-08-01,0,Sum,AF
