,date,trends_index,keyword,region
0,2004-01-01,0,Riel,DZ
1,2004-02-01,0,Riel,DZ
2,2004-03-01,0,Riel,DZ
3,2004-04-01,0,Riel,DZ
4,2004-05-01,0,Riel,DZ
5,2004-06-01,42,Riel,DZ
6,2004-07-01,0,Riel,DZ
7,2004-08-01,0,Riel,DZ
8,2004-09-01,0,Riel,DZ
9,2004-10-01,0,Riel,DZ
10,2004-11-01,0,Riel,DZ
11,2004-12-01,0,Riel,DZ
12,2005-01-01,0,Riel,DZ
13,2005-02-01,0,Riel,DZ
14,2005-03-01,0,Riel,DZ
15,2005-04-01,0,Riel,DZ
16,2005-05-01,86,Riel,DZ
17,2005-06-01,0,Riel,DZ
18,2005-07-01,0,Riel,DZ
19,2005-08-01,100,Riel,DZ
20,2005-09-01,0,Riel,DZ
21,2005-10-01,0,Riel,DZ
22,2005-11-01,0,Riel,DZ
23,2005-12-01,0,Riel,DZ
24,2006-01-01,41,Riel,DZ
25,2006-02-01,0,Riel,DZ
26,2006-03-01,0,Riel,DZ
27,2006-04-01,0,Riel,DZ
28,2006-05-01,48,Riel,DZ
29,2006-06-01,0,Riel,DZ
30,2006-07-01,24,Riel,DZ
31,2006-08-01,0,Riel,DZ
32,2006-09-01,0,Riel,DZ
33,2006-10-01,0,Riel,DZ
34,2006-11-01,0,Riel,DZ
35,2006-12-01,0,Riel,DZ
36,2007-01-01,0,Riel,DZ
37,2007-02-01,0,Riel,DZ
38,2007-03-01,0,Riel,DZ
39,2007-04-01,0,Riel,DZ
40,2007-05-01,0,Riel,DZ
41,2007-06-01,0,Riel,DZ
42,2007-07-01,0,Riel,DZ
43,2007-08-01,0,Riel,DZ
44,2007-09-01,0,Riel,DZ
45,2007-10-01,17,Riel,DZ
46,2007-11-01,0,Riel,DZ
47,2007-12-01,9,Riel,DZ
48,2008-01-01,0,Riel,DZ
49,2008-02-01,0,Riel,DZ
50,2008-03-01,0,Riel,DZ
51,2008-04-01,0,Riel,DZ
52,2008-05-01,0,Riel,DZ
53,2008-06-01,0,Riel,DZ
54,2008-07-01,0,Riel,DZ
55,2008-08-01,5,Riel,DZ
56,2008-09-01,0,Riel,DZ
57,2008-10-01,0,Riel,DZ
58,2008-11-01,8,Riel,DZ
59,2008-12-01,0,Riel,DZ
60,2009-01-01,0,Riel,DZ
61,2009-02-01,0,Riel,DZ
62,2009-03-01,0,Riel,DZ
63,2009-04-01,0,Riel,DZ
64,2009-05-01,0,Riel,DZ
65,2009-06-01,0,Riel,DZ
66,2009-07-01,0,Riel,DZ
67,2009-08-01,4,Riel,DZ
68,2009-09-01,0,Riel,DZ
69,2009-10-01,3,Riel,DZ
70,2009-11-01,0,Riel,DZ
71,2009-12-01,3,Riel,DZ
72,2010-01-01,0,Riel,DZ
73,2010-02-01,0,Riel,DZ
74,2010-03-01,0,Riel,DZ
75,2010-04-01,3,Riel,DZ
76,2010-05-01,0,Riel,DZ
77,2010-06-01,0,Riel,DZ
78,2010-07-01,6,Riel,DZ
79,2010-08-01,0,Riel,DZ
80,2010-09-01,8,Riel,DZ
81,2010-10-01,0,Riel,DZ
82,2010-11-01,0,Riel,DZ
83,2010-12-01,0,Riel,DZ
84,2011-01-01,2,Riel,DZ
85,2011-02-01,0,Riel,DZ
86,2011-03-01,2,Riel,DZ
87,2011-04-01,0,Riel,DZ
88,2011-05-01,2,Riel,DZ
89,2011-06-01,0,Riel,DZ
90,2011-07-01,2,Riel,DZ
91,2011-08-01,1,Riel,DZ
92,2011-09-01,1,Riel,DZ
93,2011-10-01,2,Riel,DZ
94,2011-11-01,3,Riel,DZ
95,2011-12-01,0,Riel,DZ
96,2012-01-01,1,Riel,DZ
97,2012-02-01,1,Riel,DZ
98,2012-03-01,1,Riel,DZ
99,2012-04-01,0,Riel,DZ
100,2012-05-01,0,Riel,DZ
101,2012-06-01,0,Riel,DZ
102,2012-07-01,0,Riel,DZ
103,2012-08-01,1,Riel,DZ
104,2012-09-01,0,Riel,DZ
105,2012-10-01,1,Riel,DZ
106,2012-11-01,1,Riel,DZ
107,2012-12-01,1,Riel,DZ
108,2013-01-01,0,Riel,DZ
109,2013-02-01,1,Riel,DZ
110,2013-03-01,2,Riel,DZ
111,2013-04-01,0,Riel,DZ
112,2013-05-01,0,Riel,DZ
113,2013-06-01,1,Riel,DZ
114,2013-07-01,0,Riel,DZ
115,2013-08-01,1,Riel,DZ
116,2013-09-01,1,Riel,DZ
117,2013-10-01,1,Riel,DZ
118,2013-11-01,1,Riel,DZ
119,2013-12-01,1,Riel,DZ
120,2014-01-01,0,Riel,DZ
121,2014-02-01,2,Riel,DZ
122,2014-03-01,0,Riel,DZ
123,2014-04-01,0,Riel,DZ
124,2014-05-01,0,Riel,DZ
125,2014-06-01,0,Riel,DZ
126,2014-07-01,1,Riel,DZ
127,2014-08-01,1,Riel,DZ
128,2014-09-01,0,Riel,DZ
129,2014-10-01,1,Riel,DZ
130,2014-11-01,0,Riel,DZ
131,2014-12-01,1,Riel,DZ
132,2015-01-01,1,Riel,DZ
133,2015-02-01,0,Riel,DZ
134,2015-03-01,1,Riel,DZ
135,2015-04-01,1,Riel,DZ
136,2015-05-01,1,Riel,DZ
137,2015-06-01,0,Riel,DZ
138,2015-07-01,0,Riel,DZ
139,2015-08-01,0,Riel,DZ
140,2015-09-01,1,Riel,DZ
141,2015-10-01,1,Riel,DZ
142,2015-11-01,1,Riel,DZ
143,2015-12-01,0,Riel,DZ
144,2016-01-01,1,Riel,DZ
