,date,trends_index,keyword,region
0,2004-01-01,0,Guyana Dollar,CA
1,2004-02-01,0,Guyana Dollar,CA
2,2004-03-01,0,Guyana Dollar,CA
3,2004-04-01,0,Guyana Dollar,CA
4,2004-05-01,0,Guyana Dollar,CA
5,2004-06-01,0,Guyana Dollar,CA
6,2004-07-01,0,Guyana Dollar,CA
7,2004-08-01,0,Guyana Dollar,CA
8,2004-09-01,0,Guyana Dollar,CA
9,2004-10-01,0,Guyana Dollar,CA
10,2004-11-01,0,Guyana Dollar,CA
11,2004-12-01,100,Guyana Dollar,CA
12,2005-01-01,0,Guyana Dollar,CA
13,2005-02-01,57,Guyana Dollar,CA
14,2005-03-01,0,Guyana Dollar,CA
15,2005-04-01,0,Guyana Dollar,CA
16,2005-05-01,0,Guyana Dollar,CA
17,2005-06-01,58,Guyana Dollar,CA
18,2005-07-01,0,Guyana Dollar,CA
19,2005-08-01,0,Guyana Dollar,CA
20,2005-09-01,0,Guyana Dollar,CA
21,2005-10-01,0,Guyana Dollar,CA
22,2005-11-01,0,Guyana Dollar,CA
23,2005-12-01,0,Guyana Dollar,CA
24,2006-01-01,59,Guyana Dollar,CA
25,2006-02-01,0,Guyana Dollar,CA
26,2006-03-01,0,Guyana Dollar,CA
27,2006-04-01,0,Guyana Dollar,CA
28,2006-05-01,0,Guyana Dollar,CA
29,2006-06-01,52,Guyana Dollar,CA
30,2006-07-01,0,Guyana Dollar,CA
31,2006-08-01,0,Guyana Dollar,CA
32,2006-09-01,0,Guyana Dollar,CA
33,2006-10-01,0,Guyana Dollar,CA
34,2006-11-01,0,Guyana Dollar,CA
35,2006-12-01,0,Guyana Dollar,CA
36,2007-01-01,0,Guyana Dollar,CA
37,2007-02-01,0,Guyana Dollar,CA
38,2007-03-01,0,Guyana Dollar,CA
39,2007-04-01,0,Guyana Dollar,CA
40,2007-05-01,0,Guyana Dollar,CA
41,2007-06-01,0,Guyana Dollar,CA
42,2007-07-01,0,Guyana Dollar,CA
43,2007-08-01,0,Guyana Dollar,CA
44,2007-09-01,0,Guyana Dollar,CA
45,2007-10-01,14,Guyana Dollar,CA
46,2007-11-01,0,Guyana Dollar,CA
47,2007-12-01,0,Guyana Dollar,CA
48,2008-01-01,0,Guyana Dollar,CA
49,2008-02-01,0,Guyana Dollar,CA
50,2008-03-01,0,Guyana Dollar,CA
51,2008-04-01,0,Guyana Dollar,CA
52,2008-05-01,0,Guyana Dollar,CA
53,2008-06-01,0,Guyana Dollar,CA
54,2008-07-01,33,Guyana Dollar,CA
55,2008-08-01,0,Guyana Dollar,CA
56,2008-09-01,16,Guyana Dollar,CA
57,2008-10-01,0,Guyana Dollar,CA
58,2008-11-01,0,Guyana Dollar,CA
59,2008-12-01,0,Guyana Dollar,CA
60,2009-01-01,0,Guyana Dollar,CA
61,2009-02-01,0,Guyana Dollar,CA
62,2009-03-01,0,Guyana Dollar,CA
63,2009-04-01,0,Guyana Dollar,CA
64,2009-05-01,0,Guyana Dollar,CA
65,2009-06-01,0,Guyana Dollar,CA
66,2009-07-01,52,Guyana Dollar,CA
67,2009-08-01,28,Guyana Dollar,CA
68,2009-09-01,0,Guyana Dollar,CA
69,2009-10-01,29,Guyana Dollar,CA
70,2009-11-01,0,Guyana Dollar,CA
71,2009-12-01,0,Guyana Dollar,CA
72,2010-01-01,0,Guyana Dollar,CA
73,2010-02-01,11,Guyana Dollar,CA
74,2010-03-01,0,Guyana Dollar,CA
75,2010-04-01,12,Guyana Dollar,CA
76,2010-05-01,0,Guyana Dollar,CA
77,2010-06-01,0,Guyana Dollar,CA
78,2010-07-01,9,Guyana Dollar,CA
79,2010-08-01,0,Guyana Dollar,CA
80,2010-09-01,0,Guyana Dollar,CA
81,2010-10-01,10,Guyana Dollar,CA
82,2010-11-01,0,Guyana Dollar,CA
83,2010-12-01,0,Guyana Dollar,CA
84,2011-01-01,0,Guyana Dollar,CA
85,2011-02-01,16,Guyana Dollar,CA
86,2011-03-01,0,Guyana Dollar,CA
87,2011-04-01,0,Guyana Dollar,CA
88,2011-05-01,0,Guyana Dollar,CA
89,2011-06-01,0,Guyana Dollar,CA
90,2011-07-01,13,Guyana Dollar,CA
91,2011-08-01,0,Guyana Dollar,CA
92,2011-09-01,0,Guyana Dollar,CA
93,2011-10-01,9,Guyana Dollar,CA
94,2011-11-01,6,Guyana Dollar,CA
95,2011-12-01,0,Guyana Dollar,CA
96,2012-01-01,7,Guyana Dollar,CA
97,2012-02-01,10,Guyana Dollar,CA
98,2012-03-01,6,Guyana Dollar,CA
99,2012-04-01,0,Guyana Dollar,CA
100,2012-05-01,0,Guyana Dollar,CA
101,2012-06-01,0,Guyana Dollar,CA
102,2012-07-01,0,Guyana Dollar,CA
103,2012-08-01,0,Guyana Dollar,CA
104,2012-09-01,8,Guyana Dollar,CA
105,2012-10-01,0,Guyana Dollar,CA
106,2012-11-01,0,Guyana Dollar,CA
107,2012-12-01,0,Guyana Dollar,CA
108,2013-01-01,0,Guyana Dollar,CA
109,2013-02-01,0,Guyana Dollar,CA
110,2013-03-01,0,Guyana Dollar,CA
111,2013-04-01,0,Guyana Dollar,CA
112,2013-05-01,12,Guyana Dollar,CA
113,2013-06-01,0,Guyana Dollar,CA
114,2013-07-01,0,Guyana Dollar,CA
115,2013-08-01,0,Guyana Dollar,CA
116,2013-09-01,4,Guyana Dollar,CA
117,2013-10-01,0,Guyana Dollar,CA
118,2013-11-01,9,Guyana Dollar,CA
119,2013-12-01,0,Guyana Dollar,CA
120,2014-01-01,9,Guyana Dollar,CA
121,2014-02-01,12,Guyana Dollar,CA
122,2014-03-01,5,Guyana Dollar,CA
123,2014-04-01,0,Guyana Dollar,CA
124,2014-05-01,5,Guyana Dollar,CA
125,2014-06-01,21,Guyana Dollar,CA
126,2014-07-01,6,Guyana Dollar,CA
127,2014-08-01,0,Guyana Dollar,CA
128,2014-09-01,23,Guyana Dollar,CA
129,2014-10-01,0,Guyana Dollar,CA
130,2014-11-01,4,Guyana Dollar,CA
131,2014-12-01,0,Guyana Dollar,CA
132,2015-01-01,8,Guyana Dollar,CA
133,2015-02-01,6,Guyana Dollar,CA
134,2015-03-01,10,Guyana Dollar,CA
135,2015-04-01,10,Guyana Dollar,CA
136,2015-05-01,9,Guyana Dollar,CA
137,2015-06-01,11,Guyana Dollar,CA
138,2015-07-01,22,Guyana Dollar,CA
139,2015-08-01,16,Guyana Dollar,CA
140,2015-09-01,5,Guyana Dollar,CA
141,2015-10-01,7,Guyana Dollar,CA
142,2015-11-01,15,Guyana Dollar,CA
143,2015-12-01,18,Guyana Dollar,CA
144,2016-01-01,22,Guyana Dollar,CA
145,2016-02-01,0,Guyana Dollar,CA
146,2016-03-01,33,Guyana Dollar,CA
147,2016-04-01,20,Guyana Dollar,CA
148,2016-05-01,6,Guyana Dollar,CA
149,2016-06-01,10,Guyana Dollar,CA
150,2016-07-01,10,Guyana Dollar,CA
151,2016-08-01,0,Guyana Dollar,CA
152,2016-09-01,0,Guyana Dollar,CA
153,2016-10-01,0,Guyana Dollar,CA
154,2016-11-01,0,Guyana Dollar,CA
