,date,trends_index,keyword,region
0,2004-01-01,0,Swiss Franc,AL
1,2004-02-01,100,Swiss Franc,AL
2,2004-03-01,0,Swiss Franc,AL
3,2004-04-01,0,Swiss Franc,AL
4,2004-05-01,39,Swiss Franc,AL
5,2004-06-01,0,Swiss Franc,AL
6,2004-07-01,0,Swiss Franc,AL
7,2004-08-01,0,Swiss Franc,AL
8,2004-09-01,0,Swiss Franc,AL
9,2004-10-01,0,Swiss Franc,AL
10,2004-11-01,0,Swiss Franc,AL
11,2004-12-01,0,Swiss Franc,AL
12,2005-01-01,93,Swiss Franc,AL
13,2005-02-01,0,Swiss Franc,AL
14,2005-03-01,0,Swiss Franc,AL
15,2005-04-01,29,Swiss Franc,AL
16,2005-05-01,0,Swiss Franc,AL
17,2005-06-01,0,Swiss Franc,AL
18,2005-07-01,0,Swiss Franc,AL
19,2005-08-01,0,Swiss Franc,AL
20,2005-09-01,25,Swiss Franc,AL
21,2005-10-01,0,Swiss Franc,AL
22,2005-11-01,0,Swiss Franc,AL
23,2005-12-01,0,Swiss Franc,AL
24,2006-01-01,0,Swiss Franc,AL
25,2006-02-01,0,Swiss Franc,AL
26,2006-03-01,0,Swiss Franc,AL
27,2006-04-01,0,Swiss Franc,AL
28,2006-05-01,18,Swiss Franc,AL
29,2006-06-01,0,Swiss Franc,AL
30,2006-07-01,0,Swiss Franc,AL
31,2006-08-01,0,Swiss Franc,AL
32,2006-09-01,70,Swiss Franc,AL
33,2006-10-01,0,Swiss Franc,AL
34,2006-11-01,0,Swiss Franc,AL
35,2006-12-01,0,Swiss Franc,AL
36,2007-01-01,0,Swiss Franc,AL
37,2007-02-01,9,Swiss Franc,AL
38,2007-03-01,0,Swiss Franc,AL
39,2007-04-01,0,Swiss Franc,AL
40,2007-05-01,0,Swiss Franc,AL
41,2007-06-01,0,Swiss Franc,AL
42,2007-07-01,0,Swiss Franc,AL
43,2007-08-01,0,Swiss Franc,AL
44,2007-09-01,10,Swiss Franc,AL
45,2007-10-01,0,Swiss Franc,AL
46,2007-11-01,0,Swiss Franc,AL
47,2007-12-01,0,Swiss Franc,AL
48,2008-01-01,0,Swiss Franc,AL
49,2008-02-01,7,Swiss Franc,AL
50,2008-03-01,0,Swiss Franc,AL
51,2008-04-01,0,Swiss Franc,AL
52,2008-05-01,4,Swiss Franc,AL
53,2008-06-01,9,Swiss Franc,AL
54,2008-07-01,0,Swiss Franc,AL
55,2008-08-01,0,Swiss Franc,AL
56,2008-09-01,14,Swiss Franc,AL
57,2008-10-01,3,Swiss Franc,AL
58,2008-11-01,0,Swiss Franc,AL
59,2008-12-01,0,Swiss Franc,AL
60,2009-01-01,0,Swiss Franc,AL
61,2009-02-01,0,Swiss Franc,AL
62,2009-03-01,0,Swiss Franc,AL
63,2009-04-01,0,Swiss Franc,AL
64,2009-05-01,0,Swiss Franc,AL
65,2009-06-01,0,Swiss Franc,AL
66,2009-07-01,0,Swiss Franc,AL
67,2009-08-01,0,Swiss Franc,AL
68,2009-09-01,0,Swiss Franc,AL
69,2009-10-01,0,Swiss Franc,AL
70,2009-11-01,0,Swiss Franc,AL
71,2009-12-01,0,Swiss Franc,AL
72,2010-01-01,0,Swiss Franc,AL
73,2010-02-01,7,Swiss Franc,AL
74,2010-03-01,0,Swiss Franc,AL
75,2010-04-01,0,Swiss Franc,AL
76,2010-05-01,0,Swiss Franc,AL
77,2010-06-01,0,Swiss Franc,AL
78,2010-07-01,2,Swiss Franc,AL
79,2010-08-01,0,Swiss Franc,AL
80,2010-09-01,0,Swiss Franc,AL
81,2010-10-01,0,Swiss Franc,AL
82,2010-11-01,0,Swiss Franc,AL
83,2010-12-01,0,Swiss Franc,AL
